candidate_id,full_name,age,gender,experience_years,education_level,major,skills,salary_expectation_usd,preferred_location,job_type_preference,current_employment_status,english_level,availability,portfolio_url,linkedin_url
1,Dang Mai I 1,35,Female,14,Associate,Mathematics,Django|Docker|Node.js|Agile|HTML/CSS|Python,4158,Da Nang,Contract,Unemployed,Basic,Immediate,https://portfolio1.com,https://linkedin.com/in/candidate1
2,Vo Van A 2,36,Female,18,Bachelor,Business Administration,React|Problem Solving|Project Management|Machine Learning|C++,2401,Flexible,Internship,Unemployed,Basic,2 months,,https://linkedin.com/in/candidate2
3,Le Mai I 3,46,Female,11,Bachelor,Mathematics,React|Git|Data Analysis|JavaScript|Project Management,1714,Da Nang,Part-time,Employed,Advanced,1 month,https://portfolio3.com,https://linkedin.com/in/candidate3
4,Nguyen Mai I 4,35,Male,12,Master,Electrical Engineering,Spring|Git|Angular|SQL|Node.js,2644,Ho Chi Minh City,Contract,Employed,Intermediate,Immediate,https://portfolio4.com,https://linkedin.com/in/candidate4
5,Dang Van A 5,28,Male,10,Associate,Marketing,Machine Learning|React|SQL|Data Analysis|Angular,2795,Ho Chi Minh City,Full-time,Employed,Basic,1 month,https://portfolio5.com,https://linkedin.com/in/candidate5
6,Huynh Thanh E 6,38,Female,4,High School,Marketing,HTML/CSS|Flask|Project Management|SQL|Angular,894,Ho Chi Minh City,Contract,Employed,Basic,Immediate,,https://linkedin.com/in/candidate6
7,Huynh Linh J 7,33,Male,0,High School,Computer Science,Spring|Communication|HTML/CSS,1292,Flexible,Part-time,Employed,Advanced,2 weeks,https://portfolio7.com,https://linkedin.com/in/candidate7
8,Hoang Quang F 8,41,Female,2,PhD,Data Science,Problem Solving|Node.js|C++,3869,Remote,Contract,Employed,Advanced,2 weeks,,https://linkedin.com/in/candidate8
9,Hoang Thanh E 9,25,Other,18,PhD,Business Administration,Project Management|SQL|Java|Team Leadership|Agile,949,Flexible,Contract,Freelancer,Advanced,2 weeks,https://portfolio9.com,https://linkedin.com/in/candidate9
10,Pham Minh C 10,30,Other,6,High School,Mathematics,Python|React|Data Analysis,1846,Da Nang,Internship,Student,Native,2 months,https://portfolio10.com,https://linkedin.com/in/candidate10
11,Le Hoang D 11,27,Other,11,Bachelor,Economics,Spring|Node.js|Team Leadership|Angular|C++|Flask,3603,Remote,Internship,Freelancer,Advanced,2 weeks,https://portfolio11.com,https://linkedin.com/in/candidate11
12,Bui Thi B 12,37,Female,14,Bachelor,Software Engineering,Team Leadership|HTML/CSS|JavaScript|Java|Angular|Flask|Communication,1198,Remote,Full-time,Student,Intermediate,Immediate,https://portfolio12.com,https://linkedin.com/in/candidate12
13,Bui Van A 13,46,Other,4,PhD,Mechanical Engineering,Problem Solving|Java|Machine Learning|Git|Python,1351,Da Nang,Internship,Freelancer,Basic,2 weeks,https://portfolio13.com,https://linkedin.com/in/candidate13
14,Nguyen Thanh E 14,49,Male,14,Master,Computer Science,AWS|Docker|SQL|Git|Machine Learning|Scrum|Angular,1094,Remote,Contract,Freelancer,Basic,Immediate,https://portfolio14.com,https://linkedin.com/in/candidate14
15,Huynh Quang F 15,43,Other,7,High School,Marketing,React|Data Analysis|Docker|C++|AWS|SQL,1943,Hanoi,Internship,Employed,Native,1 month,https://portfolio15.com,https://linkedin.com/in/candidate15
16,Le Thu G 16,43,Other,9,PhD,Marketing,C++|Java|HTML/CSS|Team Leadership|Data Analysis|Angular|AWS,1255,Da Nang,Part-time,Employed,Basic,2 months,https://portfolio16.com,https://linkedin.com/in/candidate16
17,Bui Linh J 17,42,Other,15,PhD,English Literature,Angular|Docker|Flask|C++,2353,Da Nang,Contract,Student,Basic,1 month,https://portfolio17.com,https://linkedin.com/in/candidate17
18,Dang Quang F 18,42,Male,7,High School,Business Administration,React|Data Analysis|Django|Machine Learning,968,Hanoi,Contract,Student,Intermediate,1 month,https://portfolio18.com,https://linkedin.com/in/candidate18
19,Dang Thanh E 19,23,Female,0,High School,Mathematics,JavaScript|SQL|Django|React|HTML/CSS,2746,Flexible,Contract,Employed,Basic,2 weeks,,https://linkedin.com/in/candidate19
20,Dang Linh J 20,45,Male,11,Bachelor,Business Administration,Agile|Angular|Data Analysis|Flask,1053,Flexible,Part-time,Freelancer,Intermediate,2 weeks,https://portfolio20.com,https://linkedin.com/in/candidate20
21,Pham Linh J 21,29,Female,4,Master,English Literature,Docker|React|SQL|HTML/CSS,3176,Flexible,Contract,Student,Native,2 weeks,https://portfolio21.com,https://linkedin.com/in/candidate21
22,Dang Linh J 22,32,Female,2,Master,Business Administration,Docker|Node.js|Git,2120,Remote,Internship,Unemployed,Intermediate,1 month,,https://linkedin.com/in/candidate22
23,Tran Thanh E 23,34,Other,0,High School,Marketing,Azure|Git|C++|Machine Learning|Team Leadership|Communication,3683,Hanoi,Part-time,Unemployed,Advanced,2 months,,https://linkedin.com/in/candidate23
